Random waveform, supplied seed
Total number of intervals = 120 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453)
Average QPS expected = 55318
Timestamp start: 1775302713708
Timestamp end: 1775304514008

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read     1034.6  1703.8    80.4   158.3   179.1   258.2   314.2   641.0  1543.8  2616.4  3565.1  4848.8  7872.4 10213.0 12614.6  57372.9    57408
read     1012.3  1654.0    80.4   158.4   179.3   258.4   316.6   719.4  1522.2  2576.2  3417.5  4636.2  7791.1 10237.7 12444.4  86812.3    86837
read      938.5  1455.8    80.4   147.0   166.1   269.1   504.0  1016.0  1393.5  2007.7  2802.0  3923.2  7654.9  9461.3 13677.5  33470.8    33517
read      991.7  1529.2    74.4   153.7   174.3   263.1   345.8  1076.8  1633.0  2473.6  3202.3  4232.2  7438.7  9519.7 12016.1  66166.1    66204
read     1028.5  1678.8    80.4   159.3   180.4   259.3   315.5   671.2  1556.0  2624.1  3530.2  4781.8  7797.7 10258.1 12563.3  73754.6    73758
read     1019.4  1676.7    74.4   159.0   180.2   258.7   313.3   537.0  1513.3  2606.1  3536.0  4784.8  7787.5 10220.5 12123.4  99663.2    99742
read     1015.4  1679.2    74.4   157.5   178.6   254.9   308.8   549.7  1503.7  2588.0  3497.6  4772.8  7834.1 10329.5 12839.9  80329.3   109462
read     3705.1  3566.9    80.4   206.3   241.5  1558.4  7338.2  7664.9  7777.6  7890.4  8003.1  8115.8 10023.0 15531.5 20733.7   1139.9    94453

Total QPS = 54292.8 (97727040 / 1800.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 24138578139 bytes :   12.8 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 100.00%,49.75%,100.00%
